Wall time,Step,Value
1731847604,1,0.023638926
1731847966,2,0.013204539
1731848330,3,0.017618781
1731848702,4,0.020587375
1731849064,5,0.017185649
1731849425,6,0.013655921
1731849786,7,0.019568155
1731850147,8,0.015232208
1731850512,9,0.019370176
1731850872,10,0.018617744
1731851236,11,0.016696773
1731851607,12,0.014200149
1731851960,13,0.017549761
1731852320,14,0.019734491
1731852704,15,0.014963311
1731853072,16,0.018307609
1731853435,17,0.015905134
1731853796,18,0.017682415
1731854161,19,0.015833227
1731854522,20,0.017017681
1731854883,21,0.015837371
1731855249,22,0.016066013
1731855610,23,0.015183124
1731855977,24,0.014678554
1731856338,25,0.01677713
1731856699,26,0.016427703
1731857056,27,0.016117405
1731857410,28,0.016573701
1731857780,29,0.014249667
1731858155,30,0.016941082
1731858527,31,0.017941082
1731858895,32,0.017577102
1731859258,33,0.013337804
1731859621,34,0.01256944
1731860004,35,0.013451793
1731860368,36,0.014452484
1731860741,37,0.013093445
1731861101,38,0.01679164
1731861470,39,0.016613211
1731861832,40,0.016703637
1731862199,41,0.015509171
1731862564,42,0.016934128
1731862917,43,0.014393134
1731863276,44,0.014996642
1731863644,45,0.015623797
1731863997,46,0.016887011
1731864364,47,0.014688414
1731864723,48,0.013984631
1731865076,49,0.013463975
1731865441,50,0.01242441
